iter	Passed	Remaining
0	19	19689
1	34	17083
2	48	16015
3	62	15479
4	75	14966
5	87	14487
6	101	14361
7	121	15105
8	134	14806
9	148	14683
10	164	14817
11	178	14689
12	192	14587
13	205	14444
14	218	14370
15	233	14354
16	253	14681
17	272	14889
18	293	15134
19	307	15049
20	318	14852
21	330	14671
22	341	14521
23	353	14383
24	365	14242
25	376	14121
26	389	14026
27	401	13934
28	412	13808
29	424	13726
30	436	13641
31	449	13595
32	460	13502
33	475	13520
34	488	13462
35	500	13396
36	511	13304
37	523	13261
38	535	13187
39	546	13109
40	557	13049
41	569	12981
42	580	12913
43	591	12842
44	601	12775
45	613	12715
46	623	12650
47	635	12595
48	646	12550
49	657	12496
50	669	12452
51	680	12401
52	691	12355
53	703	12323
54	714	12277
55	726	12246
56	737	12202
57	748	12158
58	759	12116
59	770	12073
60	782	12044
61	797	12063
62	811	12068
63	828	12114
64	841	12109
65	853	12073
66	863	12030
67	873	11973
68	883	11924
69	893	11876
70	903	11825
71	914	11781
72	925	11757
73	938	11738
74	951	11735
75	965	11740
76	976	11701
77	985	11648
78	996	11617
79	1006	11574
80	1016	11532
81	1029	11526
82	1049	11591
83	1059	11552
84	1070	11524
85	1081	11489
86	1091	11459
87	1102	11424
88	1113	11394
89	1123	11361
90	1133	11326
91	1147	11322
92	1157	11292
93	1168	11259
94	1179	11233
95	1190	11206
96	1200	11177
97	1212	11155
98	1222	11128
99	1234	11108
100	1245	11087
101	1256	11066
102	1267	11038
103	1282	11048
104	1293	11025
105	1303	10991
106	1315	10976
107	1326	10953
108	1336	10924
109	1348	10912
110	1359	10889
111	1370	10864
112	1380	10837
113	1391	10812
114	1400	10781
115	1411	10754
116	1421	10730
117	1431	10702
118	1442	10679
119	1454	10663
120	1466	10652
121	1476	10627
122	1486	10601
123	1496	10575
124	1508	10560
125	1518	10535
126	1529	10510
127	1539	10486
128	1549	10463
129	1560	10446
130	1571	10424
131	1581	10402
132	1592	10380
133	1604	10366
134	1620	10382
135	1631	10365
136	1642	10343
137	1652	10321
138	1662	10296
139	1672	10274
140	1682	10253
141	1693	10229
142	1703	10208
143	1713	10187
144	1723	10164
145	1733	10142
146	1744	10125
147	1756	10110
148	1767	10094
149	1778	10077
150	1792	10076
151	1804	10064
152	1815	10051
153	1827	10041
154	1842	10045
155	1854	10031
156	1864	10012
157	1875	9995
158	1888	9990
159	1902	9985
160	1915	9982
161	1927	9968
162	1939	9959
163	1950	9941
164	1961	9925
165	1972	9911
166	1984	9898
167	1997	9893
168	2009	9883
169	2021	9868
170	2035	9868
171	2050	9869
172	2063	9862
173	2074	9848
174	2086	9834
175	2097	9821
176	2109	9807
177	2122	9803
178	2136	9801
179	2155	9817
180	2166	9802
181	2177	9787
182	2188	9771
183	2199	9755
184	2212	9748
185	2224	9733
186	2235	9718
187	2247	9707
188	2259	9696
189	2270	9681
190	2283	9671
191	2294	9655
192	2305	9639
193	2316	9622
194	2326	9605
195	2337	9588
196	2348	9571
197	2359	9556
198	2370	9541
199	2380	9523
200	2392	9511
201	2403	9495
202	2414	9478
203	2425	9462
204	2436	9447
205	2447	9433
206	2459	9420
207	2469	9404
208	2480	9389
209	2492	9376
210	2504	9363
211	2514	9347
212	2525	9331
213	2536	9316
214	2547	9302
215	2571	9333
216	2635	9511
217	2646	9493
218	2657	9478
219	2668	9461
220	2679	9446
221	2690	9428
222	2701	9413
223	2712	9396
224	2724	9382
225	2735	9369
226	2746	9353
227	2757	9336
228	2770	9327
229	2781	9311
230	2792	9295
231	2803	9279
232	2816	9272
233	2832	9272
234	2847	9268
235	2858	9254
236	2870	9241
237	2881	9225
238	2892	9209
239	2903	9193
240	2914	9178
241	2925	9162
242	2936	9147
243	2946	9130
244	2957	9115
245	2968	9099
246	2980	9085
247	2990	9069
248	3001	9053
249	3012	9037
250	3023	9022
251	3034	9007
252	3046	8993
253	3057	8978
254	3067	8962
255	3078	8946
256	3089	8931
257	3100	8916
258	3111	8903
259	3122	8888
260	3133	8873
261	3144	8857
262	3155	8843
263	3172	8843
264	3186	8839
265	3202	8836
266	3217	8832
267	3232	8828
268	3255	8846
269	3271	8844
270	3286	8841
271	3301	8835
272	3318	8838
273	3332	8831
274	3346	8823
275	3362	8819
276	3376	8812
277	3391	8807
278	3404	8798
279	3419	8791
280	3435	8791
281	3450	8784
282	3464	8776
283	3478	8770
284	3492	8761
285	3505	8752
286	3519	8742
287	3533	8734
288	3547	8726
289	3560	8716
290	3572	8705
291	3585	8693
292	3599	8685
293	3612	8674
294	3624	8662
295	3645	8671
296	3663	8671
297	3681	8671
298	3699	8672
299	3712	8661
300	3725	8651
301	3737	8638
302	3749	8624
303	3761	8610
304	3772	8597
305	3784	8583
306	3797	8571
307	3808	8557
308	3821	8546
309	3834	8533
310	3846	8522
311	3859	8511
312	3872	8500
313	3885	8489
314	3897	8476
315	3910	8464
316	3925	8456
317	3938	8445
318	3950	8432
319	3961	8418
320	3995	8451
321	4009	8443
322	4026	8438
323	4039	8428
324	4051	8414
325	4063	8400
326	4074	8386
327	4086	8372
328	4098	8358
329	4109	8343
330	4121	8329
331	4132	8314
332	4147	8306
333	4162	8300
334	4173	8285
335	4185	8270
336	4196	8256
337	4208	8241
338	4220	8228
339	4233	8217
340	4245	8204
341	4256	8189
342	4268	8175
343	4280	8163
344	4292	8149
345	4305	8138
346	4316	8123
347	4327	8108
348	4338	8093
349	4357	8093
350	4368	8077
351	4379	8062
352	4391	8048
353	4405	8038
354	4423	8036
355	4437	8027
356	4450	8015
357	4462	8002
358	4474	7989
359	4486	7975
360	4498	7962
361	4511	7950
362	4522	7936
363	4534	7923
364	4546	7909
365	4559	7897
366	4570	7883
367	4582	7870
368	4594	7856
369	4605	7842
370	4617	7828
371	4628	7813
372	4639	7799
373	4651	7785
374	4662	7771
375	4678	7764
376	4693	7755
377	4704	7741
378	4716	7728
379	4729	7717
380	4742	7704
381	4753	7690
382	4764	7676
383	4782	7672
384	4796	7662
385	4812	7654
386	4823	7640
387	4834	7626
388	4846	7611
389	4857	7597
390	4868	7582
391	4879	7568
392	4892	7556
393	4903	7542
394	4914	7527
395	4926	7514
396	4937	7499
397	4949	7485
398	4960	7471
399	4971	7456
400	4982	7442
401	4993	7427
402	5004	7413
403	5015	7398
404	5026	7384
405	5037	7370
406	5048	7355
407	5059	7341
408	5070	7326
409	5081	7311
410	5092	7297
411	5102	7282
412	5113	7268
413	5124	7253
414	5135	7239
415	5146	7224
416	5157	7210
417	5168	7196
418	5179	7181
419	5190	7167
420	5201	7153
421	5212	7138
422	5223	7124
423	5234	7111
424	5245	7097
425	5256	7083
426	5268	7069
427	5279	7055
428	5290	7042
429	5301	7028
430	5313	7014
431	5325	7002
432	5338	6990
433	5350	6977
434	5361	6964
435	5373	6950
436	5384	6937
437	5396	6924
438	5410	6913
439	5422	6901
440	5433	6887
441	5452	6884
442	5464	6870
443	5475	6857
444	5487	6843
445	5497	6829
446	5508	6815
447	5519	6801
448	5530	6787
449	5541	6773
450	5552	6758
451	5563	6744
452	5573	6730
453	5585	6717
454	5596	6703
455	5606	6688
456	5617	6674
